iter	Passed	Remaining
0	2	208
1	3	182
2	5	173
3	6	159
4	8	160
5	10	159
6	12	160
7	13	157
8	15	154
9	16	152
10	18	149
11	20	147
12	21	144
13	23	142
14	25	141
15	26	139
16	28	137
17	29	135
18	31	133
19	32	131
20	34	129
21	35	127
22	37	124
23	38	122
24	40	120
25	42	119
26	43	118
27	45	117
28	46	115
29	48	113
30	49	111
31	51	109
32	52	107
33	54	105
34	55	103
35	56	100
36	57	97
37	57	94
38	58	91
39	59	88
40	59	86
41	60	82
42	60	80
43	61	78
44	61	75
45	62	73
46	63	71
47	63	69
48	64	67
49	65	65
50	65	63
51	66	61
52	67	59
53	67	57
54	68	55
55	68	53
56	69	52
57	69	50
58	70	48
59	70	47
60	71	45
61	72	44
62	72	42
63	73	41
64	73	39
65	74	38
66	75	37
67	75	35
68	76	34
69	77	33
70	77	31
71	78	30
72	79	29
73	79	27
74	80	26
75	80	25
76	81	24
77	81	23
78	82	21
79	83	20
80	83	19
81	84	18
82	85	17
83	85	16
84	86	15
85	86	14
86	87	13
87	87	11
88	88	10
89	89	9
90	89	8
91	90	7
92	90	6
93	91	5
94	91	4
95	92	3
96	92	2
97	93	1
98	94	0
99	94	0
